date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2026-03-22,日,晴れ,双子周辺17.8℃/アシカ周辺18.5℃,18.15,1.5m,1.5,明日も出船予定です。,アシカのチョボ,438deac4,グレ5匹35cm〜42.4cm,グレ,5,35.0,42.4,フカセ,オキアミ,
2026-03-22,日,晴れ,双子周辺17.8℃/アシカ周辺18.5℃,18.15,1.5m,1.5,明日も出船予定です。,アシカ,554c01b5,グレ5匹30cm〜36cm,グレ,5,30.0,36.0,フカセ,オキアミ,
2026-03-22,日,晴れ,双子周辺17.8℃/アシカ周辺18.5℃,18.15,1.5m,1.5,明日も出船予定です。,沖の長島,b4718a57,グレ4匹30cm〜34cm,グレ,4,30.0,34.0,,,
2026-03-21,土,晴れ,17℃,17.0,1.5m,1.5,明日も出船予定ですがヤイバ磯祭り開催の為一般のお客様は出船時間遅れます。予めご了承下さい。,八丈,ff0d5238,尾長グレ5匹27cm〜31cm,グレ,5,27.0,31.0,フカセ,オキアミ,
2026-03-21,土,晴れ,17℃,17.0,1.5m,1.5,明日も出船予定ですがヤイバ磯祭り開催の為一般のお客様は出船時間遅れます。予めご了承下さい。,沖のカンゴメ,cfdac2a1,チヌ1匹49cm,チヌ,1,49.0,49.0,グレ1匹34cm,フカセ,
2026-03-20,金,晴れ,双子周辺 17℃／アシカ周辺 18.2℃,17.6,1.5m（ウネリあり）,1.5,明日も出船予定です☆,アシカ,1fb02d1b,尾長グレ1匹40.3cm,グレ,1,40.3,40.3,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8820%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-20,金,晴れ,双子周辺 17℃／アシカ周辺 18.2℃,17.6,1.5m（ウネリあり）,1.5,明日も出船予定です☆,アシカのチョボ,9b7fce8a,尾長グレ2匹37cm〜38cm,グレ,2,37.0,38.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8820%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-20,金,晴れ,双子周辺 17℃／アシカ周辺 18.2℃,17.6,1.5m（ウネリあり）,1.5,明日も出船予定です☆,沖の長島,5f184709,尾長グレ2匹33cm〜35cm,グレ,2,33.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8820%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-20,金,晴れ,双子周辺 17℃／アシカ周辺 18.2℃,17.6,1.5m（ウネリあり）,1.5,明日も出船予定です☆,白崎,fa93915d,石鯛1匹51cm,石鯛,1,51.0,51.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8820%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
